# bench/compile-baseline.tsv -- cargo xtask bench --compile --update-baseline
# name	frontend_ms	lines	peak_rss	bin_bytes
bm_fib	22	1017	15597568	7992328
bm_json_parse	25	10559	26148864	8076560
bm_micro_lisp	31	20797	33292288	8126336
bm_template	25	4893	19251200	8025664
core_classes	36	20263	31571968	8865200
gem_bundler	7097	17474112	1951301632	99704464
gem_rubygems	6844	17409637	1648525312	99522368
hello	22	268	13434880	7974968
optparse_subset	138	308829	118571008	26024016
uri_parse_and_build	150	327135	134381568	11327720
