# bench/results.tsv -- medians from the last full bank (make bench) at 2256fee9
# group	benchmark	median_secs
cruby	bm_ackermann	0.3351
cruby	bm_ao_render	1.7046
cruby	bm_attr_accessor	0.8724
cruby	bm_bigint_fib	0.0307
cruby	bm_binary_trees	0.0492
cruby	bm_csv_process	0.5075
cruby	bm_fannkuch	0.0348
cruby	bm_fasta	0.0338
cruby	bm_fib	0.4220
cruby	bm_gcbench	2.1401
cruby	bm_getivar	0.0932
cruby	bm_getivar_module	0.6779
cruby	bm_huffman	0.0651
cruby	bm_inline	0.9640
cruby	bm_io_wordcount	0.0751
cruby	bm_jekyll_lite	0.0309
cruby	bm_json_parse	0.2494
cruby	bm_keyword_args	0.1572
cruby	bm_life	0.5361
cruby	bm_linked_list	0.2228
cruby	bm_loops_times	0.5971
cruby	bm_mandel_term	0.0417
cruby	bm_matmul	0.3145
cruby	bm_micro_lisp	0.0309
cruby	bm_nbody	0.0354
cruby	bm_nested_loop	0.4127
cruby	bm_nqueens	0.1899
cruby	bm_object_new	0.1011
cruby	bm_object_new_init	0.1425
cruby	bm_object_new_no_escape	0.2011
cruby	bm_partial_sums	0.7390
cruby	bm_pidigits	0.0305
cruby	bm_poly_cells	0.0305
cruby	bm_range_each	14.3341
cruby	bm_rbtree	0.3461
cruby	bm_ruby_xor	0.9430
cruby	bm_send_bmethod	0.1742
cruby	bm_send_cfunc_block	0.7666
cruby	bm_send_rubyfunc_block	0.5170
cruby	bm_setivar	0.0625
cruby	bm_setivar_object	0.0624
cruby	bm_setivar_young	0.0616
cruby	bm_sieve	0.4356
cruby	bm_sinatra_mini	0.0307
cruby	bm_so_lists	0.2634
cruby	bm_so_mandelbrot	0.9752
cruby	bm_sort_by	0.0370
cruby	bm_spectral_norm	0.0568
cruby	bm_splay	0.1377
cruby	bm_stark_field	0.7790
cruby	bm_str_concat	0.0308
cruby	bm_structaref	0.1674
cruby	bm_structaset	0.1502
cruby	bm_sudoku	0.1080
cruby	bm_tak	0.3882
cruby	bm_tarai	0.2859
cruby	bm_template	0.5652
cruby	bm_throw	0.1776
cruby	bm_tree_walker	0.3696
cruby	bm_tree_walker_frames	0.2617
cruby	bm_wordfreq	0.0322
zeo	bm_ackermann	0.2073
zeo	bm_ao_render	2.2036
zeo	bm_attr_accessor	0.5366
zeo	bm_bigint_fib	0.0029
zeo	bm_binary_trees	0.0342
zeo	bm_csv_process	0.5576
zeo	bm_fannkuch	0.0047
zeo	bm_fasta	0.0055
zeo	bm_fib	0.1906
zeo	bm_gcbench	2.6277
zeo	bm_getivar	0.0545
zeo	bm_getivar_module	1.7347
zeo	bm_huffman	0.0452
zeo	bm_inline	1.0982
zeo	bm_io_wordcount	0.1131
zeo	bm_jekyll_lite	0.0032
zeo	bm_json_parse	0.3271
zeo	bm_keyword_args	0.0588
zeo	bm_life	0.6268
zeo	bm_linked_list	0.5983
zeo	bm_loops_times	0.2962
zeo	bm_mandel_term	0.0146
zeo	bm_matmul	0.1052
zeo	bm_micro_lisp	0.0034
zeo	bm_nbody	0.0072
zeo	bm_nested_loop	0.1022
zeo	bm_nqueens	0.0903
zeo	bm_object_new	0.0662
zeo	bm_object_new_init	0.1204
zeo	bm_object_new_no_escape	0.1391
zeo	bm_partial_sums	0.4634
zeo	bm_pidigits	0.0030
zeo	bm_poly_cells	0.0029
zeo	bm_range_each	1.8792
zeo	bm_rbtree	0.5617
zeo	bm_ruby_xor	1.1763
zeo	bm_send_bmethod	0.0757
zeo	bm_send_cfunc_block	0.2422
zeo	bm_send_rubyfunc_block	0.4240
zeo	bm_setivar	0.0832
zeo	bm_setivar_object	0.0829
zeo	bm_setivar_young	0.0832
zeo	bm_sieve	0.1858
zeo	bm_sinatra_mini	0.0030
zeo	bm_so_lists	0.6285
zeo	bm_so_mandelbrot	0.1959
zeo	bm_sort_by	0.0133
zeo	bm_spectral_norm	0.0138
zeo	bm_splay	0.1636
zeo	bm_stark_field	1.1060
zeo	bm_str_concat	0.0032
zeo	bm_structaref	0.1178
zeo	bm_structaset	0.1561
zeo	bm_sudoku	0.0468
zeo	bm_tak	0.1898
zeo	bm_tarai	0.1551
zeo	bm_template	0.6381
zeo	bm_throw	0.2105
zeo	bm_tree_walker	4.9097
zeo	bm_tree_walker_frames	3.4110
zeo	bm_wordfreq	0.0050
