# Every rb_*/ruby_* symbol a C extension can link against, from clang's AST
# of the vendored headers. Regenerate with `tools/zeo-dev cext api`.
#
# status=zeo    the runtime exports it
# status=stub   crates/zeo-rt/src/cext/stubs.rs raises NotImplementedError
# status=global a VALUE symbol stubs.rs defines and cext::globals fills
symbol	kind	status	signature
rb_Array	fn	zeo	VALUE (VALUE)
rb_Complex	fn	stub	VALUE (VALUE, VALUE)
rb_Float	fn	zeo	VALUE (VALUE)
rb_Hash	fn	stub	VALUE (VALUE)
rb_Integer	fn	zeo	VALUE (VALUE)
rb_Rational	fn	stub	VALUE (VALUE, VALUE)
rb_String	fn	zeo	VALUE (VALUE)
rb_absint_numwords	fn	stub	size_t (VALUE, size_t, size_t *)
rb_absint_singlebit_p	fn	stub	int (VALUE)
rb_absint_size	fn	zeo	size_t (VALUE, int *)
rb_add_event_hook	fn	stub	void (rb_event_hook_func_t, rb_event_flag_t, VALUE)
rb_alias	fn	stub	void (VALUE, ID, ID)
rb_alias_variable	fn	stub	void (ID, ID)
rb_alloc_tmp_buffer	fn	stub	void *(volatile VALUE *, long)
rb_alloc_tmp_buffer_with_count	fn	stub	void *(volatile VALUE *, size_t, size_t)
rb_any_to_s	fn	stub	VALUE (VALUE)
rb_apply	fn	stub	VALUE (VALUE, ID, VALUE)
rb_argv0	var	global	VALUE
rb_arithmetic_sequence_beg_len_step	fn	stub	VALUE (VALUE, long *, long *, long *, long, int)
rb_arithmetic_sequence_extract	fn	stub	int (VALUE, rb_arithmetic_sequence_components_t *)
rb_ary_aref	fn	stub	VALUE (int, const VALUE *, VALUE)
rb_ary_assoc	fn	zeo	VALUE (VALUE, VALUE)
rb_ary_cat	fn	stub	VALUE (VALUE, const VALUE *, long)
rb_ary_clear	fn	zeo	VALUE (VALUE)
rb_ary_cmp	fn	zeo	VALUE (VALUE, VALUE)
rb_ary_concat	fn	zeo	VALUE (VALUE, VALUE)
rb_ary_delete	fn	zeo	VALUE (VALUE, VALUE)
rb_ary_delete_at	fn	stub	VALUE (VALUE, long)
rb_ary_dup	fn	zeo	VALUE (VALUE)
rb_ary_each	fn	stub	VALUE (VALUE)
rb_ary_entry	fn	zeo	VALUE (VALUE, long)
rb_ary_free	fn	stub	void (VALUE)
rb_ary_freeze	fn	zeo	VALUE (VALUE)
