ArgumentError	i	
ArgumentError	s	
ArgumentError	p	
ArgumentError	c	
ArgumentError	I	!,!=,!~,<=>,==,===,__id__,__send__,backtrace,backtrace_locations,cause,class,clone,define_singleton_method,detailed_message,display,dup,enum_for,eql?,equal?,exception,extend,freeze,frozen?,full_message,hash,inspect,instance_eval,instance_exec,instance_of?,instance_variable_defined?,instance_variable_get,instance_variable_set,instance_variables,is_a?,itself,kind_of?,message,method,methods,nil?,object_id,private_methods,protected_methods,public_method,public_methods,public_send,remove_instance_variable,respond_to?,send,set_backtrace,singleton_class,singleton_method,singleton_methods,tap,then,to_enum,to_s,yield_self
ArgumentError	S	!,!=,!~,<,<=,<=>,==,===,>,>=,__id__,__send__,alias_method,allocate,ancestors,attached_object,attr,attr_accessor,attr_reader,attr_writer,autoload,autoload?,class,class_eval,class_exec,class_variable_defined?,class_variable_get,class_variable_set,class_variables,clone,const_defined?,const_get,const_missing,const_set,const_source_location,constants,define_method,define_singleton_method,deprecate_constant,display,dup,enum_for,eql?,equal?,exception,extend,freeze,frozen?,hash,include,include?,included_modules,inspect,instance_eval,instance_exec,instance_method,instance_methods,instance_of?,instance_variable_defined?,instance_variable_get,instance_variable_set,instance_variables,is_a?,itself,kind_of?,method,method_defined?,methods,module_eval,module_exec,name,new,nil?,object_id,prepend,private_class_method,private_constant,private_instance_methods,private_method_defined?,private_methods,protected_instance_methods,protected_method_defined?,protected_methods,public_class_method,public_constant,public_instance_method,public_instance_methods,public_method,public_method_defined?,public_methods,public_send,refinements,remove_class_variable,remove_instance_variable,remove_method,respond_to?,send,set_temporary_name,singleton_class,singleton_class?,singleton_method,singleton_methods,subclasses,superclass,tap,then,to_enum,to_s,to_tty?,undef_method,undefined_instance_methods,yield_self
ArgumentError	P	Array,Complex,Float,Hash,Integer,Pathname,Rational,String,__callee__,__dir__,__method__,`,abort,at_exit,autoload,autoload?,binding,block_given?,caller,caller_locations,catch,eval,exec,exit,exit!,fail,fork,format,gets,global_variables,initialize,initialize_clone,initialize_copy,initialize_dup,instance_variables_to_inspect,iterator?,lambda,load,local_variables,loop,method_missing,open,p,pp,print,printf,proc,putc,puts,raise,rand,readline,readlines,require,require_relative,respond_to_missing?,select,set_trace_func,singleton_method_added,singleton_method_removed,singleton_method_undefined,sleep,spawn,sprintf,srand,syscall,system,test,throw,trace_var,trap,untrace_var,warn
Array	i	&,*,+,-,<<,<=>,==,[],[]=,all?,any?,append,assoc,at,bsearch,bsearch_index,clear,collect,collect!,combination,compact,compact!,concat,count,cycle,deconstruct,delete,delete_at,delete_if,detect,difference,dig,drop,drop_while,each,each_index,empty?,eql?,fetch,fetch_values,fill,filter,filter!,find,find_index,first,flatten,flatten!,freeze,hash,include?,index,insert,inspect,intersect?,intersection,join,keep_if,last,length,map,map!,max,min,minmax,none?,one?,pack,permutation,pop,prepend,product,push,rassoc,reject,reject!,repeated_combination,repeated_permutation,replace,reverse,reverse!,reverse_each,rfind,rindex,rotate,rotate!,sample,select,select!,shift,shuffle,shuffle!,size,slice,slice!,sort,sort!,sort_by!,sum,take,take_while,to_a,to_ary,to_h,to_s,transpose,union,uniq,uniq!,unshift,values_at,zip,|
Array	s	[],new,try_convert
Array	p	initialize,initialize_copy
Array	c	
Array	I	!,!=,!~,&,*,+,-,<<,<=>,==,===,[],[]=,__id__,__send__,all?,any?,append,assoc,at,bsearch,bsearch_index,chain,chunk,chunk_while,class,clear,clone,collect,collect!,collect_concat,combination,compact,compact!,concat,count,cycle,deconstruct,define_singleton_method,delete,delete_at,delete_if,detect,difference,dig,display,drop,drop_while,dup,each,each_cons,each_entry,each_index,each_slice,each_with_index,each_with_object,empty?,entries,enum_for,eql?,equal?,extend,fetch,fetch_values,fill,filter,filter!,filter_map,find,find_all,find_index,first,flat_map,flatten,flatten!,freeze,frozen?,grep,grep_v,group_by,hash,include?,index,inject,insert,inspect,instance_eval,instance_exec,instance_of?,instance_variable_defined?,instance_variable_get,instance_variable_set,instance_variables,intersect?,intersection,is_a?,itself,join,keep_if,kind_of?,last,lazy,length,map,map!,max,max_by,member?,method,methods,min,min_by,minmax,minmax_by,nil?,none?,object_id,one?,pack,partition,permutation,pop,prepend,private_methods,product,protected_methods,public_method,public_methods,public_send,push,rassoc,reduce,reject,reject!,remove_instance_variable,repeated_combination,repeated_permutation,replace,respond_to?,reverse,reverse!,reverse_each,rfind,rindex,rotate,rotate!,sample,select,select!,send,shift,shuffle,shuffle!,singleton_class,singleton_method,singleton_methods,size,slice,slice!,slice_after,slice_before,slice_when,sort,sort!,sort_by,sort_by!,sum,take,take_while,tally,tap,then,to_a,to_ary,to_enum,to_h,to_s,to_set,transpose,union,uniq,uniq!,unshift,values_at,yield_self,zip,|
