path	status	reason
English.rb	fail	`alias`'s global targets must both be plain `$name` globals (spike scope)
arm64-darwin25/rbconfig.rb	fail	`def` with an explicit non-`self` receiver isn't supported yet (spike scope)
bundled_gems.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/build_metadata.rb	pass	
bundler/capistrano.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/checksum.rb	fail	panic: unknown class/module `Bundler::Source::Rubygems`
bundler/ci_detector.rb	pass	
bundler/cli.rb	fail	`require_relative` is only supported as a top-level statement with a single string-literal argument …
bundler/cli/add.rb	fail	unknown class/module `CLI` in `CLI::Add` (must be defined earlier in the file)
bundler/cli/binstubs.rb	fail	unknown class/module `CLI` in `CLI::Binstubs` (must be defined earlier in the file)
bundler/cli/cache.rb	fail	`require_relative` is only supported as a top-level statement with a single string-literal argument …
bundler/cli/check.rb	fail	unknown class/module `CLI` in `CLI::Check` (must be defined earlier in the file)
bundler/cli/clean.rb	fail	unknown class/module `CLI` in `CLI::Clean` (must be defined earlier in the file)
bundler/cli/common.rb	fail	unknown class/module `CLI` in `CLI::Common` (must be defined earlier in the file)
bundler/cli/config.rb	fail	unsupported string interpolation part (spike scope)
bundler/cli/console.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/cli/doctor.rb	fail	`require_relative` is only supported as a top-level statement with a single string-literal argument …
bundler/cli/doctor/diagnose.rb	fail	cannot load such file
bundler/cli/doctor/ssl.rb	fail	cannot load such file
bundler/cli/exec.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/cli/fund.rb	fail	unknown class/module `CLI` in `CLI::Fund` (must be defined earlier in the file)
bundler/cli/gem.rb	fail	unsupported syntax at "`git config user.name`" (spike handles only what the 7 example programs need)
bundler/cli/info.rb	fail	unknown class/module `CLI` in `CLI::Info` (must be defined earlier in the file)
bundler/cli/init.rb	fail	unknown class/module `CLI` in `CLI::Init` (must be defined earlier in the file)
bundler/cli/install.rb	fail	unsupported string interpolation part (spike scope)
bundler/cli/issue.rb	fail	cannot load such file
bundler/cli/list.rb	fail	`autoload` isn't supported (spike scope)
bundler/cli/lock.rb	fail	unknown class/module `CLI` in `CLI::Lock` (must be defined earlier in the file)
bundler/cli/open.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/cli/outdated.rb	fail	unsupported string interpolation part (spike scope)
bundler/cli/platform.rb	fail	unknown class/module `CLI` in `CLI::Platform` (must be defined earlier in the file)
bundler/cli/plugin.rb	fail	`require_relative` is only supported as a top-level statement with a single string-literal argument …
bundler/cli/pristine.rb	fail	unknown class/module `CLI` in `CLI::Pristine` (must be defined earlier in the file)
bundler/cli/remove.rb	fail	unknown class/module `CLI` in `CLI::Remove` (must be defined earlier in the file)
bundler/cli/show.rb	fail	unknown class/module `CLI` in `CLI::Show` (must be defined earlier in the file)
bundler/cli/update.rb	fail	`require_relative` is only supported as a top-level statement with a single string-literal argument …
bundler/compact_index_client.rb	fail	`require_relative` is only supported as a top-level statement with a single string-literal argument …
bundler/compact_index_client/cache.rb	fail	unknown class/module `Gem::Resolver::APISet` in `Gem::Resolver::APISet::GemParser` (must be defined …
bundler/compact_index_client/cache_file.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/compact_index_client/parser.rb	fail	panic: a nested escaping block capturing its enclosing BLOCK's own local `name` isn't supported yet (spike …
bundler/compact_index_client/updater.rb	fail	unknown superclass `Error` (must be defined earlier in the file)
bundler/constants.rb	fail	cannot load such file
bundler/current_ruby.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/definition.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/dependency.rb	fail	unsupported string interpolation part (spike scope)
bundler/deployment.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/deprecate.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/digest.rb	fail	panic: a nested escaping block capturing its enclosing BLOCK's own local `w` isn't supported yet (spike sco…
bundler/dsl.rb	fail	unsupported string interpolation part (spike scope)
bundler/endpoint_specification.rb	fail	`eval` is only supported with exactly one string-literal argument (spike scope)
bundler/env.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/environment_preserver.rb	pass	
bundler/errors.rb	fail	unsupported string interpolation part (spike scope)
bundler/feature_flag.rb	fail	panic: unknown class/module `Gem`
bundler/fetcher.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/fetcher/base.rb	pass	
bundler/fetcher/compact_index.rb	fail	panic: unknown class `Thread::Queue`
bundler/fetcher/dependency.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/fetcher/downloader.rb	fail	expected a constant name or path (e.g. `Foo` or `Foo::Bar`)
bundler/fetcher/gem_remote_fetcher.rb	fail	cannot load such file
bundler/fetcher/index.rb	fail	panic: unknown class `Gem::RemoteFetcher::FetchError` in a `rescue` clause (must be defined earlier in the …
bundler/force_platform.rb	pass	
bundler/friendly_errors.rb	fail	`require_relative` is only supported as a top-level statement with a single string-literal argument …
bundler/gem_helper.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/gem_tasks.rb	fail	cannot load such file
bundler/gem_version_promoter.rb	fail	panic: a nested escaping block capturing its enclosing BLOCK's own local `gsv` isn't supported yet (spike s…
bundler/index.rb	fail	panic: unknown class/module `Gem`
bundler/injector.rb	fail	panic: unknown class `Dsl`
bundler/inline.rb	fail	`require_relative` is only supported as a top-level statement with a single string-literal argument …
bundler/installer.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/installer/gem_installer.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/installer/parallel_installer.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/installer/standalone.rb	fail	panic: a nested escaping block capturing its enclosing BLOCK's own local `file` isn't supported yet (spike …
bundler/lazy_specification.rb	fail	unknown module `MatchMetadata` (must be defined earlier in the file)
bundler/lockfile_generator.rb	fail	panic: a nested escaping block capturing its enclosing BLOCK's own local `source` isn't supported yet (spik…
bundler/lockfile_parser.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/match_metadata.rb	pass	
bundler/match_platform.rb	fail	panic: unknown class/module `Gem`
bundler/match_remote_metadata.rb	fail	unknown module `MatchMetadata` (must be defined earlier in the file)
bundler/materialization.rb	fail	panic: unknown class `LazySpecification`
bundler/mirror.rb	fail	`require "socket.so"`: native (.so/.bundle) features aren't supported (spike scope)
bundler/plugin.rb	fail	`autoload` isn't supported (spike scope)
bundler/plugin/api.rb	fail	`autoload` isn't supported (spike scope)
bundler/plugin/api/source.rb	pass	
bundler/plugin/dsl.rb	fail	unknown superclass `Bundler::Dsl` (must be defined earlier in the file)
bundler/plugin/events.rb	pass	
bundler/plugin/index.rb	fail	`require_relative` is only supported as a top-level statement with a single string-literal argument …
bundler/plugin/installer.rb	fail	`autoload` isn't supported (spike scope)
bundler/plugin/installer/git.rb	fail	unknown superclass `Bundler::Source::Git` (must be defined earlier in the file)
bundler/plugin/installer/path.rb	fail	unknown superclass `Bundler::Source::Path` (must be defined earlier in the file)
bundler/plugin/installer/rubygems.rb	fail	unknown superclass `Bundler::Source::Rubygems` (must be defined earlier in the file)
bundler/plugin/source_list.rb	fail	unknown superclass `Bundler::SourceList` (must be defined earlier in the file)
bundler/process_lock.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/remote_specification.rb	fail	unsupported string interpolation part (spike scope)
bundler/resolver.rb	fail	`require_relative` is only supported as a top-level statement with a single string-literal argument …
bundler/resolver/base.rb	fail	panic: unknown class `Dependency`
bundler/resolver/candidate.rb	fail	panic: unknown class `Gem::Version`
bundler/resolver/incompatibility.rb	fail	unknown superclass `PubGrub::Incompatibility` (must be defined earlier in the file)
bundler/resolver/package.rb	fail	panic: unknown class `Dependency`
bundler/resolver/root.rb	fail	panic: unknown class `Dependency`
bundler/resolver/spec_group.rb	pass	
bundler/resolver/strategy.rb	pass	
bundler/retry.rb	pass	
bundler/ruby_dsl.rb	pass	
bundler/ruby_version.rb	fail	panic: unknown class/module `Gem::Requirement`
bundler/rubygems_ext.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/rubygems_gem_installer.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/rubygems_integration.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/runtime.rb	fail	unsupported string interpolation part (spike scope)
bundler/safe_marshal.rb	fail	panic: unknown class/module `Gem`
bundler/self_manager.rb	fail	unsupported string interpolation part (spike scope)
bundler/settings.rb	fail	`autoload` isn't supported (spike scope)
bundler/settings/validator.rb	fail	panic: `raise Class, message` requires a literal class name (spike scope)
bundler/setup.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/shared_helpers.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/source.rb	fail	`autoload` isn't supported (spike scope)
